IdPais;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;2020;2021;2022;2023;
Afghanistan;2.2;11.8;6.4;7.4;4.7;-0.7;4.4;5.0;0.6;2.3;;..;..;..;..;
Albania;3.6;3.4;2.0;1.9;1.6;1.9;1.3;2.0;2.0;1.4;;1.6;2.0;6.7;4.8;
Algeria;3.9;4.5;8.9;3.3;2.9;4.8;6.4;5.6;4.3;2.0;;2.4;7.2;9.3;9.3;
American Samoa;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Andorra;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Angola;14.5;13.5;10.3;8.8;7.3;9.4;30.7;29.8;19.6;17.1;;22.3;25.8;21.4;13.6;
Antigua and Barbuda;3.4;3.5;3.4;1.1;1.1;1.0;-0.5;2.4;1.2;1.4;;0.6;2.1;7.5;5.1;
Argentina;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Armenia;8.2;7.7;2.6;5.8;3.0;3.7;-1.4;1.0;2.5;1.4;;1.2;7.2;8.6;2.0;
Aruba;2.1;4.3;0.6;-2.4;0.4;0.5;-0.9;-1.0;3.6;4.3;;..;..;..;..;
Australia;2.9;3.3;1.8;2.4;2.5;1.5;1.3;1.9;1.9;1.6;;0.8;2.9;6.6;5.6;
Austria;1.8;3.3;2.5;2.0;1.6;0.9;0.9;2.1;2.0;1.5;;1.4;2.8;8.5;7.8;
Azerbaijan;5.7;7.9;1.1;2.4;1.4;4.0;12.4;12.9;2.3;2.6;;2.8;6.7;13.9;8.8;
Bahamas; The;1.3;3.2;2.0;0.7;1.5;1.9;-0.3;1.5;2.3;2.5;;0.0;2.9;5.6;3.1
Bahrain;2.0;-0.4;2.8;3.3;2.6;1.8;2.8;1.4;2.1;1.0;;-2.3;-0.6;3.6;0.1;
Bangladesh;8.1;11.4;6.2;7.5;7.0;6.2;5.5;5.7;5.5;5.6;;5.7;5.5;7.7;9.9;
Barbados;5.8;9.4;4.5;1.8;1.8;-1.1;1.3;4.7;3.7;4.1;;..;..;..;9.8;
Belarus;7.7;53.2;59.2;18.3;18.1;13.5;11.8;6.0;4.9;5.6;;5.5;9.5;15.2;5.0;
Belgium;2.2;3.5;2.8;1.1;0.3;0.6;2.0;2.1;2.1;1.4;;0.7;2.4;9.6;4.0;
Belize;0.9;1.6;1.3;0.5;1.2;-0.9;0.7;1.1;0.3;0.2;;0.1;3.2;6.3;4.4;
Benin;2.2;2.7;6.7;0.4;-0.5;0.2;-0.8;0.0;0.9;0.7;;3.0;1.7;1.4;2.7;
Bermuda;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Bhutan;7.0;8.8;10.9;8.8;8.3;4.5;3.2;5.0;2.7;2.7;;5.6;7.3;5.6;4.2;
Bolivia;2.5;9.9;4.5;5.7;5.8;4.1;3.6;2.8;2.3;1.8;;0.9;0.7;1.7;2.6;
Bosnia and Herzegovina;2.0;3.7;2.1;-0.1;-0.9;-1.0;-1.6;0.8;1.4;0.6;;-1.1;2.0;14.0;6.1;
Botswana;6.9;8.5;7.5;5.9;4.4;3.1;2.8;3.3;3.2;2.8;;1.9;7.2;11.7;5.1;
Brazil;5.0;6.6;5.4;6.2;6.3;9.0;8.7;3.4;3.7;3.7;;3.2;8.3;9.3;4.6;
British Virgin Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Brunei Darussalam;0.4;0.1;0.1;0.4;-0.2;-0.5;-0.3;-1.3;1.0;-0.4;;1.9;1.7;3.7;0.4;
Bulgaria;2.4;4.2;3.0;0.9;-1.4;-0.1;-0.8;2.1;2.8;3.1;;1.7;3.3;15.3;9.4;
Burkina Faso;-0.8;2.8;3.8;0.5;-0.3;0.7;0.4;1.5;2.0;-3.2;;1.9;3.7;14.3;0.7;
Burundi;6.5;9.6;18.2;7.9;4.4;5.5;5.6;16.1;-2.8;-0.7;;7.3;8.4;18.8;26.9;
Cabo Verde;2.1;4.5;2.5;1.5;-0.2;0.1;-1.4;0.8;1.3;1.1;;0.6;1.9;7.9;3.7;
Cambodia;4.0;5.5;2.9;2.9;3.9;1.2;3.0;2.9;2.5;1.9;;2.9;2.9;5.3;2.1;
Cameroon;1.3;2.9;2.7;2.1;1.9;2.7;0.9;0.6;1.1;2.5;;2.4;2.3;6.2;7.4;
Canada;1.8;2.9;1.5;0.9;1.9;1.1;1.4;1.6;2.3;1.9;;0.7;3.4;6.8;3.9;
Cayman Islands;0.3;1.3;1.2;2.2;1.3;-2.3;-0.6;..;..;..;;..;..;..;..;
Central African Republic;1.5;1.2;5.5;7.0;14.9;1.4;4.9;4.2;1.6;2.7;;1.7;4.3;5.6;3.0;
Chad;-2.1;2.0;7.5;0.2;1.7;4.4;-0.8;-1.5;4.3;-1.0;;4.5;-0.8;5.8;10.8;
Channel Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Chile;1.4;3.3;3.0;1.8;4.7;4.3;3.8;2.2;2.4;2.6;;3.0;4.5;11.6;7.6;
China;3.2;5.6;2.6;2.6;1.9;1.4;2.0;1.6;2.1;2.9;;2.4;1.0;2.0;0.2;
Colombia;2.3;3.4;3.2;2.0;2.9;5.0;7.5;4.3;3.2;3.5;;2.5;3.5;10.2;11.7;
Comoros;3.4;1.8;6.3;-4.3;..;..;..;..;..;..;;..;..;..;..;
Congo; Dem. Rep.;7.1;15.3;9.7;0.8;1.2;0.7;2.9;..;..;..;;..;..;..;..
Congo; Rep.;0.4;1.8;5.0;4.6;0.9;3.2;3.2;0.5;1.2;2.2;;1.8;1.7;3.0;4.3
Costa Rica;5.7;4.9;4.5;5.2;4.5;0.8;0.0;1.6;2.2;2.1;;0.7;1.7;8.3;0.5;
Cote d'Ivoire;1.2;4.9;1.3;2.6;0.4;1.3;0.7;0.7;0.4;-1.1;;2.4;4.1;5.3;4.4;
Croatia;1.0;2.3;3.4;2.2;-0.2;-0.5;-1.1;1.1;1.5;0.8;;0.2;2.6;10.8;7.9;
Cuba;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Curacao;2.8;2.3;3.2;1.3;1.5;-0.5;0.0;1.6;2.6;2.6;;..;..;..;..;
Cyprus;2.4;3.3;2.4;-0.4;-1.4;-2.1;-1.4;0.5;1.4;0.3;;-0.6;2.4;8.4;3.5;
Czechia;1.5;1.9;3.3;1.4;0.3;0.3;0.7;2.5;2.1;2.8;;3.2;3.8;15.1;10.7;
Denmark;2.3;2.8;2.4;0.8;0.6;0.5;0.3;1.1;0.8;0.8;;0.4;1.9;7.7;3.3;
Djibouti;4.0;5.1;3.7;2.7;1.3;-0.8;2.7;0.6;0.1;3.3;;1.8;1.2;5.2;1.5;
Dominica;3.0;1.1;1.4;0.0;0.8;-0.8;0.1;0.3;1.0;1.5;;-0.7;1.5;7.8;4.2;
Dominican Republic;6.3;5.8;3.7;4.8;3.0;0.8;1.6;3.3;3.6;1.8;;3.8;8.2;8.8;4.8;
Ecuador;3.6;4.5;5.1;2.7;3.6;4.0;1.7;0.4;-0.2;0.3;;-0.3;0.1;3.5;2.2;
Egypt; Arab Rep.;11.3;10.1;7.1;9.5;10.1;10.4;13.8;29.5;14.4;9.2;;5.0;5.2;13.9;33.9
El Salvador;1.2;5.1;1.7;0.8;1.1;-0.7;0.6;1.0;1.1;0.1;;-0.4;3.5;7.2;4.0;
Equatorial Guinea;7.8;4.8;3.7;2.9;4.3;1.7;1.4;0.7;1.1;1.5;;4.8;-0.1;4.8;..;
Eritrea;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Estonia;3.0;5.0;3.9;2.8;-0.1;-0.5;0.1;3.4;3.4;2.3;;-0.4;4.7;19.4;9.2;
Ethiopia;8.1;33.2;23.6;7.5;6.9;9.6;6.6;10.7;13.8;15.8;;20.4;26.8;33.9;30.2;
Faroe Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Fiji;3.7;7.3;3.4;2.9;0.5;1.4;3.9;3.3;4.1;1.8;;-2.6;0.2;4.5;2.1;
Finland;1.2;3.4;2.8;1.5;1.0;-0.2;0.4;0.8;1.1;1.0;;0.3;2.2;7.1;6.3;
France;1.5;2.1;2.0;0.9;0.5;0.0;0.2;1.0;1.9;1.1;;0.5;1.6;5.2;4.9;
French Polynesia;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Gabon;1.5;1.3;2.7;0.5;4.7;-0.3;2.1;2.7;4.7;2.5;;1.4;1.1;4.2;3.6;
Gambia; The;5.0;4.8;4.3;5.7;5.9;6.8;7.2;8.0;6.5;7.1;;5.9;7.4;11.5;17.0
Georgia;7.1;8.5;-0.9;-0.5;3.1;4.0;2.1;6.0;2.6;4.9;;5.2;9.6;11.9;2.5;
Germany;1.1;2.1;2.0;1.5;0.9;0.5;0.5;1.5;1.7;1.4;;0.1;3.1;6.9;5.9;
Ghana;10.7;8.7;11.2;11.7;15.5;17.1;17.5;12.4;7.8;7.1;;9.9;10.0;31.3;38.1;
Gibraltar;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Greece;4.7;3.3;1.5;-0.9;-1.3;-1.7;-0.8;1.1;0.6;0.3;;-1.2;1.2;9.6;3.5;
Greenland;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Grenada;3.4;3.0;2.4;0.0;-1.0;-0.5;1.7;0.9;0.8;0.6;;-0.7;1.2;2.6;2.7;
Guam;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Guatemala;3.9;6.2;3.8;4.3;3.4;2.4;4.4;4.4;3.8;3.7;;3.2;4.3;6.9;..;
Guinea;15.1;21.3;15.2;11.9;6.2;11.8;8.2;8.9;9.8;9.5;;10.6;12.6;10.5;7.8;
Guinea-Bissau;2.5;5.0;2.1;1.2;-1.5;1.5;1.5;1.7;0.4;0.2;;1.1;2.2;9.4;..;
Guyana;3.7;5.0;2.4;1.9;0.9;-1.0;0.8;1.9;1.3;2.1;;1.0;5.0;6.1;2.8;
Haiti;4.8;6.3;5.0;4.8;3.4;6.7;11.5;10.7;12.5;18.7;;22.8;16.8;34.0;36.8;
Honduras;4.7;6.8;5.2;5.2;6.1;3.2;2.7;3.9;4.3;4.4;;3.5;4.5;9.1;6.7;
Hong Kong SAR; China;2.3;5.3;4.1;4.3;4.4;3.0;2.4;1.5;2.4;2.9;;0.3;1.6;1.9;2.1
Hungary;4.9;3.9;5.7;1.7;-0.2;-0.1;0.4;2.3;2.9;3.3;;3.3;5.1;14.6;17.1;
Iceland;5.4;4.0;5.2;3.9;2.0;1.6;1.7;1.8;2.7;3.0;;2.8;4.4;8.3;8.7;
India;12.0;8.9;9.5;10.0;6.7;4.9;4.9;3.3;3.9;3.7;;6.6;5.1;6.7;5.6;
Indonesia;5.1;5.4;4.3;6.4;6.4;6.4;3.5;3.8;3.2;3.0;;1.9;1.6;4.2;3.7;
Iran; Islamic Rep.;10.1;26.3;27.3;36.6;16.6;12.5;7.2;8.0;18.0;39.9;;30.6;43.4;43.5;44.6
Iraq;2.9;5.8;6.1;1.9;2.2;1.4;0.6;0.2;0.4;-0.2;;0.6;6.0;5.0;4.4;
Ireland;-0.9;2.5;1.7;0.5;0.2;-0.3;0.0;0.4;0.5;0.9;;-0.3;2.3;7.8;6.3;
Isle of Man;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Israel;2.7;3.5;1.7;1.6;0.5;-0.6;-0.6;0.3;0.8;0.8;;-0.6;1.5;4.4;4.2;
Italy;1.5;2.8;3.0;1.2;0.2;0.0;-0.1;1.2;1.1;0.6;;-0.1;1.9;8.2;5.6;
Jamaica;12.6;7.6;6.9;9.3;8.3;3.7;2.4;4.4;3.7;3.9;;5.2;5.9;10.3;6.5;
Japan;-0.7;-0.3;0.0;0.3;2.8;0.8;-0.1;0.5;1.0;0.5;;0.0;-0.2;2.5;3.3;
Jordan;4.8;4.2;4.5;4.8;2.9;-0.9;-0.8;3.3;4.5;0.8;;0.3;1.3;4.2;2.1;
Kazakhstan;7.4;8.5;5.2;5.9;6.8;6.7;14.4;7.4;6.2;5.3;;6.7;8.0;15.0;14.7;
Kenya;4.0;14.0;9.4;5.7;6.9;6.6;6.3;8.0;4.7;5.2;;5.4;6.1;7.7;7.7;
Kiribati;-3.9;1.5;-3.0;-1.5;2.1;0.6;1.9;0.4;0.6;-1.8;;2.6;2.1;5.3;9.3;
Korea; Dem. People's Rep.;..;..;..;..;..;..;..;..;..;..;;..;..;..;..
Korea; Rep.;2.9;4.0;2.2;1.3;1.3;0.7;1.0;1.9;1.5;0.4;;0.5;2.5;5.1;3.6
Kosovo;3.5;7.3;2.5;1.8;0.4;-0.5;0.3;1.5;1.1;2.7;;0.2;3.4;11.6;4.9;
Kuwait;4.5;4.8;3.3;2.7;2.9;3.3;3.2;2.2;0.5;1.1;;2.1;3.4;4.0;3.6;
Kyrgyz Republic;8.0;16.6;2.8;6.6;7.5;6.5;0.4;3.2;1.5;1.1;;6.3;11.9;13.9;10.8;
Lao PDR;6.0;7.6;4.3;6.4;4.1;1.3;1.6;0.8;2.0;3.3;;5.1;3.8;23.0;31.2;
Latvia;-1.1;4.4;2.3;0.0;0.6;0.2;0.1;2.9;2.5;2.8;;0.2;3.3;17.3;8.9;
Lebanon;4.0;5.0;6.6;4.8;1.9;-3.7;-0.8;4.3;6.1;3.0;;84.9;154.8;171.2;221.3;
Lesotho;-2.4;5.0;6.1;4.9;5.4;3.2;6.6;4.4;4.8;5.2;;5.0;6.0;8.3;6.3;
Liberia;7.3;8.5;6.8;7.6;9.9;7.7;8.8;12.4;23.6;27.0;;17.0;7.8;7.6;10.1;
Libya;2.8;15.5;6.1;2.6;2.4;10.4;25.9;25.8;13.2;-2.2;;1.4;2.9;4.5;2.4;
Liechtenstein;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Lithuania;1.3;4.1;3.1;1.0;0.1;-0.9;0.9;3.7;2.7;2.3;;1.2;4.7;19.7;9.1;
Luxembourg;2.3;3.4;2.7;1.7;0.6;0.5;0.3;1.7;1.5;1.7;;0.8;2.5;6.3;3.7;
Macao SAR; China;2.8;5.8;6.1;5.5;6.0;4.6;2.4;1.2;3.0;2.8;;0.8;0.0;1.0;0.5
North Macedonia;1.5;3.9;3.3;2.8;-0.3;-0.3;-0.2;1.4;1.5;0.8;;1.2;3.2;14.2;9.4;
Madagascar;9.2;9.5;5.7;5.8;6.1;7.4;6.0;8.6;8.6;5.6;;4.2;5.8;8.2;9.9;
Malawi;7.4;7.6;21.3;27.3;23.8;21.9;21.7;11.5;12.4;9.4;;8.6;9.3;21.0;28.8;
Malaysia;1.6;3.2;1.7;2.1;3.1;2.1;2.1;3.9;0.9;0.7;;-1.1;2.5;3.4;2.5;
Maldives;6.1;11.3;10.9;3.8;2.1;1.0;0.5;2.8;-0.1;0.2;;-1.4;0.5;2.3;2.9;
Mali;1.1;3.0;5.3;-0.6;0.9;1.5;-1.8;1.8;0.3;-1.7;;0.4;3.9;9.6;2.1;
Malta;1.5;3.0;2.4;1.2;0.3;1.1;0.6;1.4;1.2;1.6;;0.6;1.5;6.2;5.1;
Marshall Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Mauritania;6.3;5.7;4.9;4.1;3.5;3.3;1.5;2.3;3.1;2.3;;2.4;3.6;9.5;5.0;
Mauritius;2.9;6.5;3.9;3.5;3.2;1.3;1.0;3.7;3.2;0.4;;2.6;4.0;10.8;7.1;
Mexico;4.2;3.4;4.1;3.8;4.0;2.7;2.8;6.0;4.9;3.6;;3.4;5.7;7.9;5.5;
Micronesia; Fed. Sts.;3.3;5.1;5.0;1.8;0.7;-0.3;-1.0;0.6;1.5;1.9;;0.6;3.2;5.4;..
Moldova;7.5;7.7;4.5;4.6;5.1;9.7;6.4;6.6;3.0;4.8;;3.8;5.1;28.7;13.4;
Monaco;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Mongolia;10.0;8.4;14.3;10.5;12.3;5.7;0.7;4.3;6.8;7.3;;3.8;7.4;15.1;10.3;
Montenegro;0.7;3.5;4.1;2.2;-0.7;1.5;-0.3;2.4;2.6;0.4;;-0.3;2.4;13.0;8.6;
Morocco;1.0;0.9;1.3;1.9;0.4;1.6;1.6;0.8;1.8;0.3;;0.7;1.4;6.7;6.1;
Mozambique;12.4;11.2;2.6;4.3;2.6;3.6;17.4;15.1;3.9;2.8;;3.5;6.4;10.3;7.1;
Myanmar;7.7;5.0;1.5;5.6;5.0;9.5;6.9;4.6;6.9;8.8;;..;..;..;..;
Namibia;4.9;5.0;6.7;5.6;5.4;3.4;6.7;6.1;4.3;3.7;;2.2;3.6;6.1;5.9;
Nauru;..;0.3;-0.1;..;..;..;..;..;..;..;;..;..;..;..;
Nepal;9.3;9.2;9.5;9.0;8.4;7.9;8.8;3.6;4.1;5.6;;5.1;4.1;7.7;7.1;
Netherlands;1.3;2.3;2.5;2.5;1.0;0.6;0.3;1.4;1.7;2.6;;1.3;2.7;10.0;3.8;
New Caledonia;..;2.4;1.7;1.3;0.2;0.6;0.6;..;..;..;;..;..;..;..;
New Zealand;2.3;4.0;1.1;1.1;1.2;0.3;0.6;1.9;1.6;1.6;;1.7;3.9;7.2;5.7;
Nicaragua;5.5;8.1;7.2;7.1;6.0;4.0;3.5;3.9;4.9;5.4;;3.7;4.9;10.5;8.4;
Niger;0.8;2.9;0.5;2.3;-0.9;-0.6;1.7;2.8;3.0;-2.5;;2.9;3.8;4.2;3.7;
Nigeria;13.7;10.8;12.2;8.5;8.0;9.0;15.7;16.5;12.1;11.4;;13.2;17.0;18.8;24.7;
Northern Mariana Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Norway;2.4;1.3;0.7;2.1;2.0;2.2;3.5;1.9;2.8;2.2;;1.3;3.5;5.8;5.5;
Oman;3.3;4.0;2.9;1.1;1.0;0.1;1.1;1.6;0.9;0.5;;-0.4;1.7;2.5;1.0;
Pakistan;12.9;11.9;9.7;7.7;7.2;2.5;3.8;4.1;5.1;10.6;;9.7;9.5;19.9;30.8;
Palau;1.4;4.7;3.6;3.4;4.2;0.9;-1.0;1.4;2.1;0.3;;0.2;2.6;12.4;12.8;
Panama;3.5;5.9;5.7;4.0;2.6;0.1;0.7;0.9;0.8;-0.4;;-1.6;1.6;2.9;1.5;
Papua New Guinea;6.0;4.4;4.5;5.0;5.2;6.0;6.7;5.4;4.4;3.9;;4.9;4.5;5.3;2.3;
Paraguay;4.7;8.3;3.7;2.7;5.0;3.1;4.1;3.6;4.0;2.8;;1.8;4.8;9.8;4.6;
Peru;1.5;3.4;3.6;2.8;3.4;3.4;3.6;3.0;1.5;2.3;;2.0;4.3;8.3;6.5;
Philippines;3.8;4.7;3.0;2.6;3.6;0.7;1.3;2.9;5.3;2.4;;2.4;3.9;5.8;6.0;
Poland;2.6;4.2;3.6;1.0;0.1;-0.9;-0.7;2.1;1.8;2.2;;3.4;5.1;14.4;11.5;
Portugal;1.4;3.7;2.8;0.3;-0.3;0.5;0.6;1.4;1.0;0.3;;0.0;1.3;7.8;4.3;
Puerto Rico;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Qatar;-2.4;1.1;2.3;3.2;3.3;1.8;2.7;0.4;0.3;-0.7;;-2.5;2.3;5.0;3.0;
Romania;6.1;5.8;3.3;4.0;1.1;-0.6;-1.5;1.3;4.6;3.8;;2.6;5.1;13.8;10.4;
Russian Federation;6.8;8.4;5.1;6.8;7.8;15.5;7.0;3.7;2.9;4.5;;3.4;6.7;..;..;
Rwanda;-0.2;3.1;10.3;5.9;2.4;2.5;7.2;8.3;-0.3;3.3;;9.9;-0.4;17.7;19.8;
Samoa;0.8;5.2;2.0;0.6;-0.4;0.7;1.3;1.7;4.2;1.0;;-1.6;3.1;11.0;..;
San Marino;2.6;2.9;2.8;1.6;1.1;0.1;0.6;1.0;..;..;;..;..;..;..;
Sao Tome and Principe;13.3;14.3;10.6;8.1;7.0;5.2;5.4;5.7;7.9;7.7;;9.8;8.1;18.0;21.3;
Saudi Arabia;5.3;5.8;2.9;3.5;2.2;1.2;2.1;-0.8;2.5;-2.1;;3.4;3.1;2.5;2.3;
Senegal;1.2;3.4;1.4;0.7;-1.1;0.1;0.8;1.3;0.5;1.8;;2.5;2.2;9.7;5.9;
Serbia;6.1;11.1;7.3;7.7;2.1;1.4;1.1;3.1;2.0;1.8;;1.6;4.1;12.0;12.4;
Seychelles;-2.4;2.6;7.1;4.3;1.4;4.0;-1.0;2.9;3.7;1.8;;1.2;9.8;2.6;-1.0;
Sierra Leone;7.2;6.8;6.6;5.5;4.6;6.7;10.9;18.2;16.0;14.8;;13.4;11.9;27.2;47.6;
Singapore;2.8;5.2;4.6;2.4;1.0;-0.5;-0.5;0.6;0.4;0.6;;-0.2;2.3;6.1;4.8;
Sint Maarten (Dutch part);1.3;4.6;4.0;2.5;1.9;0.3;0.1;2.2;..;..;;..;..;..;..;
Slovak Republic;1.0;3.9;3.6;1.4;-0.1;-0.3;-0.5;1.3;2.5;2.7;;1.9;3.1;12.8;10.5;
Slovenia;1.8;1.8;2.6;1.8;0.2;-0.5;-0.1;1.4;1.7;1.6;;-0.1;1.9;8.8;7.4;
Solomon Islands;1.1;7.3;5.9;5.4;5.2;-0.6;0.5;0.5;3.5;1.6;;3.0;-0.1;5.5;5.9;
Somalia;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
South Africa;4.1;5.0;5.7;5.8;6.1;4.5;6.6;5.2;4.5;4.1;;3.2;4.6;7.0;6.1;
South Sudan;1.2;46.9;45.5;-0.1;1.7;52.8;380.0;187.9;83.5;87.2;;29.7;10.5;-6.7;2.4;
Spain;1.8;3.2;2.4;1.4;-0.2;-0.5;-0.2;2.0;1.7;0.7;;-0.3;3.1;8.4;3.5;
Sri Lanka;6.2;6.7;7.5;6.9;3.2;3.8;4.0;7.7;2.1;3.5;;6.2;7.0;49.7;16.5;
St. Kitts and Nevis;0.9;5.8;0.8;1.1;0.2;-2.3;-0.7;0.7;-1.0;-0.3;;-1.2;1.2;2.7;3.6;
St. Lucia;3.3;2.8;4.2;1.5;3.5;-1.0;-3.1;0.1;1.9;0.5;;-1.8;2.4;6.4;4.1;
St. Martin (French part);..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
St. Vincent and the Grenadines;0.7;3.2;2.6;0.8;0.2;-1.7;-0.1;2.2;2.3;0.9;;-0.6;1.6;5.7;4.6;
Sudan;13.0;18.1;35.6;36.5;36.9;16.9;17.8;32.4;63.3;51.0;;163.3;359.1;138.8;..;
Suriname;6.9;17.7;5.0;1.9;3.4;6.9;55.4;22.0;..;..;;34.9;59.1;52.4;51.6;
Eswatini;4.5;6.1;8.9;5.6;5.7;5.0;7.8;6.2;4.8;2.6;;..;..;..;..;
Sweden;1.2;3.0;0.9;0.0;-0.2;0.0;1.0;1.8;2.0;1.8;;0.5;2.2;8.4;8.5;
Switzerland;0.7;0.2;-0.7;-0.2;0.0;-1.1;-0.4;0.5;0.9;0.4;;-0.7;0.6;2.8;2.1;
Syrian Arab Republic;4.4;4.8;36.7;40.0;10.9;38.5;47.7;18.1;0.9;13.4;;..;..;..;..;
Tajikistan;6.4;12.4;5.8;5.0;6.1;5.7;6.0;..;..;..;;..;..;..;..;
Tanzania;6.2;12.7;16.0;7.9;6.1;5.6;5.2;5.3;3.5;3.5;;3.3;3.7;4.4;3.8;
Thailand;3.2;3.8;3.0;2.2;1.9;-0.9;0.2;0.7;1.1;0.7;;-0.8;1.2;6.1;1.2;
Timor-Leste;6.8;13.5;11.8;11.0;0.8;0.6;-1.5;0.5;2.3;1.0;;0.5;3.7;7.0;8.4;
Togo;1.4;3.6;2.6;1.8;0.2;2.6;1.3;-1.0;0.9;0.7;;1.7;4.2;8.0;..;
Tonga;3.5;6.3;1.1;0.8;2.5;-1.1;2.6;7.5;5.0;1.2;;-0.3;5.6;11.0;6.4;
Trinidad and Tobago;10.5;5.1;9.3;5.2;5.7;4.7;3.1;1.9;1.0;1.0;;0.6;2.1;5.8;4.6;
Tunisia;3.3;3.2;4.6;5.3;4.6;4.4;3.6;5.3;7.3;6.7;;5.6;5.7;8.3;9.3;
Turkiye;8.6;6.5;8.9;7.5;8.9;7.7;7.8;11.1;16.3;15.2;;12.3;19.6;72.3;53.9;
Turkmenistan;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Turks and Caicos Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Tuvalu;..;0.5;..;..;..;..;..;..;..;..;;..;..;..;..;
Uganda;4.0;16.6;12.7;4.9;3.1;5.6;5.7;5.2;2.6;2.9;;3.3;2.2;7.2;5.4;
Ukraine;9.4;8.0;0.6;-0.2;12.1;48.7;13.9;14.4;11.0;7.9;;2.7;9.4;20.2;12.8;
United Arab Emirates;0.9;0.9;0.7;1.1;2.3;4.1;1.6;2.0;3.1;-1.9;;-2.1;0.2;5.3;1.6;
United Kingdom;2.5;3.9;2.6;2.3;1.5;0.4;1.0;2.6;2.3;1.7;;1.0;2.5;7.9;6.8;
United States;1.6;3.2;2.1;1.5;1.6;0.1;1.3;2.1;2.4;1.8;;1.2;4.7;8.0;4.1;
Uruguay;6.7;8.1;8.1;8.6;8.9;8.7;9.6;6.2;7.6;7.9;;9.8;7.7;9.1;5.9;
Uzbekistan;..;13.8;13.2;11.8;9.3;8.8;8.1;13.9;17.5;14.5;;12.9;10.8;11.4;..;
Vanuatu;2.8;0.9;1.3;1.5;0.8;2.5;0.8;3.1;2.3;2.8;;5.3;2.3;6.7;..;
Venezuela; RB;28.2;26.1;21.1;40.6;62.2;121.7;254.9;..;..;..;;..;..;..;..
Viet Nam;9.2;18.7;9.1;6.6;4.1;0.6;2.7;3.5;3.5;2.8;;3.2;1.8;3.2;3.3;
Virgin Islands (U.S.);..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
West Bank and Gaza;3.7;2.9;2.8;1.7;1.7;1.4;-0.2;0.2;-0.2;1.6;;-0.7;1.2;3.7;5.9;
Yemen; Rep.;11.2;19.5;9.9;11.0;8.1;..;..;..;..;..;;..;..;..;..
Zambia;8.5;6.4;6.6;7.0;7.8;10.1;17.9;6.6;7.5;9.2;;15.7;22.0;11.0;10.9;
Zimbabwe;3.0;3.5;3.7;1.6;-0.2;-2.4;-1.5;0.9;10.6;255.3;;557.2;98.5;104.7;..;
Created from: World Development Indicators;;;;;;;;;;;;;;;;
